iter	Passed	Remaining
682	1695	787
683	1697	784
684	1698	781
685	1700	778
686	1702	775
687	1704	772
688	1705	770
689	1707	767
690	1708	764
691	1710	761
692	1711	758
693	1713	755
694	1714	752
695	1715	749
696	1717	746
697	1719	744
698	1721	741
699	1722	738
700	1724	735
701	1725	732
702	1726	729
703	1729	726
704	1730	724
705	1731	721
706	1732	718
707	1734	715
708	1735	712
709	1737	709
710	1738	706
711	1739	703
712	1741	700
713	1742	697
714	1744	695
715	1745	692
716	1746	689
717	1748	686
718	1749	683
719	1751	681
720	1753	678
721	1754	675
722	1755	672
723	1757	669
724	1758	667
725	1759	664
726	1761	661
727	1762	658
728	1763	655
729	1765	652
730	1767	650
731	1768	647
732	1770	644
733	1771	641
734	1772	639
735	1774	636
736	1776	633
737	1777	631
738	1778	628
739	1779	625
740	1781	622
741	1782	619
742	1783	617
743	1785	614
744	1786	611
745	1787	608
746	1789	606
747	1790	603
748	1792	600
749	1793	597
750	1795	595
751	1796	592
752	1800	590
753	1801	587
754	1803	585
755	1804	582
756	1805	579
757	1807	577
758	1808	574
759	1810	571
760	1811	568
761	1812	566
762	1815	563
763	1816	561
764	1818	558
765	1819	555
766	1821	553
767	1822	550
768	1824	547
769	1825	545
770	1827	542
771	1828	539
772	1829	537
773	1831	534
774	1833	532
775	1834	529
776	1835	526
777	1837	524
778	1838	521
779	1840	519
780	1841	516
781	1843	513
782	1844	511
783	1846	508
784	1847	506
785	1849	503
786	1850	500
787	1851	498
788	1853	495
789	1854	493
790	1856	490
791	1857	487
792	1858	485
793	1860	482
794	1861	479
795	1863	477
796	1864	474
797	1866	472
798	1867	469
799	1869	467
800	1871	464
801	1872	462
802	1873	459
803	1875	457
804	1876	454
805	1879	452
806	1881	449
807	1882	447
808	1883	444
809	1886	442
810	1887	439
811	1889	437
812	1890	434
813	1892	432
814	1895	430
815	1898	428
816	1900	425
817	1902	423
818	1904	420
819	1906	418
820	1907	415
821	1909	413
822	1912	411
823	1914	408
824	1916	406
825	1918	404
826	1920	401
827	1922	399
828	1924	396
829	1926	394
830	1928	392
831	1929	389
832	1933	387
833	1935	385
834	1936	382
835	1938	380
836	1939	377
837	1941	375
838	1943	372
839	1945	370
840	1946	368
841	1948	365
842	1950	363
843	1952	360
844	1953	358
845	1955	355
846	1957	353
847	1958	351
848	1960	348
849	1961	346
850	1962	343
851	1964	341
852	1965	338
853	1967	336
854	1968	333
855	1969	331
856	1971	328
857	1972	326
858	1974	324
859	1976	321
860	1977	319
861	1979	316
862	1980	314
863	1982	311
864	1982	309
865	1984	307
866	1985	304
867	1987	302
868	1989	299
869	1991	297
870	1992	295
871	1994	292
872	1995	290
873	1997	287
874	1998	285
875	2000	283
876	2001	280
877	2003	278
878	2005	276
879	2007	273
880	2008	271
881	2010	268
882	2011	266
883	2013	264
884	2014	261
885	2016	259
886	2017	257
887	2019	254
888	2020	252
889	2022	249
890	2023	247
891	2025	245
892	2026	242
893	2028	240
894	2029	238
895	2031	235
896	2032	233
897	2034	231
898	2036	228
899	2038	226
900	2039	224
901	2040	221
902	2042	219
903	2043	217
904	2044	214
905	2045	212
906	2047	209
907	2048	207
908	2049	205
909	2050	202
910	2052	200
911	2054	198
912	2055	195
913	2056	193
914	2057	191
915	2059	188
916	2060	186
917	2061	184
918	2063	181
919	2064	179
920	2065	177
921	2067	174
922	2068	172
923	2069	170
924	2071	167
925	2072	165
926	2073	163
927	2074	160
928	2076	158
929	2077	156
930	2078	154
931	2079	151
932	2081	149
933	2082	147
934	2087	145
935	2088	142
936	2091	140
937	2093	138
938	2095	136
939	2096	133
940	2097	131
941	2099	129
942	2100	126
943	2102	124
944	2103	122
945	2104	120
946	2105	117
947	2107	115
948	2108	113
949	2109	111
950	2110	108
951	2112	106
952	2113	104
953	2114	101
954	2115	99
955	2117	97
956	2119	95
957	2120	92
958	2121	90
959	2123	88
960	2124	86
961	2125	83
962	2127	81
963	2128	79
964	2129	77
965	2131	75
966	2132	72
967	2134	70
968	2136	68
969	2137	66
970	2139	63
971	2140	61
972	2142	59
973	2143	57
974	2145	55
975	2146	52
976	2147	50
977	2148	48
978	2150	46
979	2151	43
980	2153	41
981	2154	39
982	2155	37
983	2156	35
984	2158	32
985	2159	30
986	2160	28
987	2162	26
988	2163	24
989	2164	21
990	2165	19
991	2167	17
992	2169	15
993	2170	13
994	2172	10
995	2173	8
996	2174	6
997	2175	4
998	2177	2
999	2179	0
359	237
964	6362	230
965	6365	224
966	6369	217
967	6372	210
968	6375	203
969	6379	197
970	6383	190
971	6386	183
972	6390	177
973	6392	170
974	6394	163
975	6396	157
976	6397	150
977	6399	143
978	6401	137
979	6403	130
980	6404	124
981	6409	117
982	6411	110
983	6414	104
984	6416	97
985	6418	91
986	6420	84
987	6422	78
988	6424	71
989	6425	64
990	6428	58
991	6430	51
992	6433	45
993	6435	38
994	6437	32
995	6439	25
996	6441	19
997	6442	12
998	6444	6
999	6446	0
	5959	11
998	5967	5
999	5987	0
8	28
995	5635	22
996	5660	17
997	5666	11
998	5680	5
999	5698	0
